transcript_name	raw	est_count	tpm
ENST00000387347.2	0.01985137990852962	94482.99999948507	19851.37990852962
ENST00000362079.2	0.0069011189788169705	32845.99999982099	6901.11897881697
ENST00000361381.2	0.00666517012155626	31722.997166609206	6665.17012155626
ENST00000233143.6	0.00643783677251205	30640.999999833006	6437.83677251205
ENST00000361227.2	0.006220797988333826	29607.999999838637	6220.797988333827
ENST00000361739.1	0.0059237018969500125	28193.96580516773	5923.701896950012
ENST00000451311.7	0.00589471386111927	28055.996726846664	5894.7138611192695
ENST00000361899.2	0.0055152877565499536	26250.11135247912	5515.287756549954
ENST00000456586.5	0.005336884953447296	25400.999999861568	5336.884953447296
ENST00000319248.13	0.004941281989114107	23518.120570264397	4941.281989114107
ENST00000651669.1	0.004700895539208694	22373.996934983486	4700.895539208695
ENST00000501597.3	0.0046187110099372404	21982.838188594476	4618.71100993724
ENST00000406022.6	0.004360052506256787	20751.74838447429	4360.052506256787
ENST00000361789.2	0.004329219891570471	20604.999999887703	4329.21989157047
ENST00000439189.1	0.0037988477914442883	18080.684442639336	3798.8477914442883
ENST00000389680.2	0.0037106698619279828	17660.99999990375	3710.6698619279828
ENST00000361453.3	0.003597630938026725	17122.989206895083	3597.630938026725
ENST00000361390.2	0.0035125405538515854	16717.99999178659	3512.5405538515856
ENST00000321153.9	0.0033962989281896452	16164.745882099323	3396.2989281896453
ENST00000270625.7	0.003200875801376708	15234.625992416868	3200.8758013767083
ENST00000514057.1	0.0031958558725771347	15210.733550936578	3195.8558725771345
ENST00000357790.5	0.0031688701253150117	15082.294401099054	3168.8701253150116
ENST00000302182.8	0.0031395898378259197	14942.934345749545	3139.58983782592
ENST00000245857.9	0.002970889009567252	14139.999717037508	2970.889009567252
ENST00000439602.7	0.0029682543727026825	14127.460115457126	2968.2543727026828
ENST00000567815.5	0.002826317632320666	13451.909644747591	2826.317632320666
ENST00000396651.8	0.002820053722477623	13422.096453099251	2820.053722477623
ENST00000530022.5	0.002811678861028611	13382.236149285172	2811.678861028611
ENST00000361575.4	0.002791669240441487	13286.999999927586	2791.669240441487
ENST00000343262.9	0.0027567906700624195	13120.994816394146	2756.7906700624194
ENST00000448864.6	0.0027406126473329146	13043.99522600866	2740.6126473329145
ENST00000274065.9	0.0027378583507504935	13030.886101847287	2737.8583507504936
ENST00000366815.10	0.0027312702291891287	12999.529818689783	2731.2702291891287
ENST00000230050.4	0.0026906075055775345	12805.994853731376	2690.6075055775345
ENST00000222247.10	0.002678877341720946	12750.164927712993	2678.877341720946
ENST00000409733.5	0.002666432273043595	12690.932399331905	2666.432273043595
ENST00000563390.5	0.0026277685039238345	12506.91149425856	2627.7685039238345
ENST00000525634.6	0.00258929699495682	12323.805654842894	2589.29699495682
ENST00000343986.9	0.0025634913195193877	12200.983078096277	2563.4913195193876
ENST00000287038.8	0.002483511854404468	11820.319374251445	2483.511854404468
ENST00000394077.8	0.002444933672226108	11636.705821766262	2444.933672226108
ENST00000552361.1	0.002415160035782966	11494.99766318967	2415.160035782966
ENST00000323345.11	0.0023955154287832623	11401.498802571656	2395.5154287832625
ENST00000370321.8	0.0023704097217360372	11282.007737977661	2370.409721736037
